state	tMRCA(1971)	tMRCA(Abia_human)	tMRCA(akwa)	tMRCA(minus_root)	tMRCA(Cameroon)
24	53.64398429402971	9.855503743439698	15.140060688940679	56.2583489703147	37.06304923086469
25	54.486038281613844	8.265913209813846	18.23609494309764	56.259002663222844	36.848210872602834
26	53.873663076065384	9.3115836703154	18.915762942551424	54.953633595193395	38.1384562921734
27	54.222795334977235	9.949368996857231	17.40118155289622	55.827198994220225	40.599966003630215
28	54.131328809813425	9.029250414353413	16.945309919155534	58.28762520344543	38.229954760895424
29	55.14936706795726	9.701452530517258	14.714629175122269	56.49959056844426	42.74766381165426
30	54.628630077678395	10.319880102968398	14.490648049871396	56.42637031035238	40.1594411938724
31	53.63426917281956	10.09825786828955	14.723981079735552	55.70457931657256	39.59487016950257
32	53.85572186341636	9.95186358739636	14.88830039230595	56.31486540778337	36.802413764813366
33	53.74855545647637	9.174632899006355	13.813855851789356	56.06210093144736	38.97253263322736
34	53.36318679577687	9.933349177106862	12.884238502185923	56.01525506370288	39.703901822172895
35	54.25157401419136	9.005177981011371	11.729064949896383	55.64887631849237	33.25143534066237
36	56.16890620166271	9.250596529872695	14.381616641773746	58.07943585007672	33.068430823816726
37	56.286278361994334	8.491650299194333	15.401516156811226	57.10979686807522	35.23961843143522
38	56.197655599436274	9.494177075476273	14.703192387541662	58.02535619175629	33.862632804706294
39	54.07458601724758	10.01717382514758	15.938115575998609	55.98978352100258	33.199582225832586
40	55.9125959350647	9.519374703804715	14.990002061834787	57.3053495346507	31.65178420480069
41	54.52188629779786	9.942224994667868	16.781626166122862	56.19611697120786	38.030681297967845
42	55.93877725836194	10.298439948041931	15.795658587738956	58.33717427366494	38.60499154426495
43	54.97120484899608	8.65709826546609	16.922807791873055	58.323833958077074	39.18563250776708
44	54.45417770746903	9.578933989139045	16.403071368550002	56.048555783135015	39.818219800375005
45	56.04375620558409	8.754723113604086	15.739877631068083	57.14709042860409	38.60722483265408
46	57.81081861375742	10.441842770557429	17.627221413586426	58.89826403444442	37.406384156554424
47	54.82202565916427	9.703951296894274	17.548312571208243	56.36998227768126	35.86476257882126
48	55.636610862133864	9.130200403973873	19.491269274276846	58.94382804067686	34.55020492118686
49	54.663237350408735	8.919666468388726	19.70079837760474	56.27211820876974	38.34766903932973
50	54.16760284799287	10.06829581848288	19.31449626717864	56.455046600342854	37.75562162300284
51	55.30964317469625	9.390942854856235	19.00580372438725	57.08411043746125	39.41176995373124
52	54.074846623306115	9.054433675996108	15.978681132516527	57.20356176671112	36.75168672905113
